"","SMAS_ID","COMID","YEAR","LAT","LONG","NOTES","MILES","BASIN","RECENT_SAMPLE_DATE","PREVIOUS_SAMPLE_DATE_1","PREVIOUS_SAMPLE_DATE_2","PREVIOUS_SAMPLE_DATE_3","PREVIOUS_SAMPLE_DATE_4","PREVIOUS_SAMPLE_DATE_5","PREVIOUS_SAMPLE_DATE_6","PREVIOUS_SAMPLE_DATE_7","X17","X1","wgt","start","end","matching"
"11","05-FIVM-1.2",8118807,2022,42.447262,-77.304766,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,145,124.433486,"2018","2022","05-FIVM-1.2_8118807_2022_2018"
"12","05-MDCR-10.0",8118901,2022,42.355513,-77.136042,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,152,124.433486,"2018","2022","05-MDCR-10.0_8118901_2022_2018"
"13","05-MEAD-10.8",8118979,2022,42.290289,-77.066961,NA,0,NA,"8/30/2022",NA,NA,NA,NA,NA,NA,NA,NA,148,144.565574,"2018","2022","05-MEAD-10.8_8118979_2022_2018"
"14","05-POSC_T5-0.9",8117697,2022,42.226545,-76.972573,"Probabilistic/department interest",0.38,NA,"8/30/2022",NA,NA,NA,NA,NA,NA,NA,NA,160,124.433486,"2018","2022","05-POSC_T5-0.9_8117697_2022_2018"
"15","05-STEO-24.7",8110593,2022,42.24891,-77.45244,NA,0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,146,125.782515,"2018","2022","05-STEO-24.7_8110593_2022_2018"
"16","05-STEP-2.7",8110553,2022,42.300705,-77.543593,"Probabilistic/department interest",0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,159,469.453749,"2018","2022","05-STEP-2.7_8110553_2022_2018"
"17","05-TIOG-11.7",8110985,2022,42.019592,-77.128563,NA,0,NA,"9/1/2022",NA,NA,NA,NA,NA,NA,NA,NA,156,125.782515,"2018","2022","05-TIOG-11.7_8110985_2022_2018"
"18","05-TOBE-1.0",8118853,2022,42.407695,-77.05759,"Probabilistic/department interest",0,NA,"8/31/2022",NA,NA,NA,NA,NA,NA,NA,NA,164,144.565574,"2018","2022","05-TOBE-1.0_8118853_2022_2018"
"19","05-TUSC-9.3",8110719,2022,42.080158,-77.364734,NA,0,NA,"9/1/2022",NA,NA,NA,NA,NA,NA,NA,NA,154,124.433486,"2018","2022","05-TUSC-9.3_8110719_2022_2018"
"20","08-ALDR-2.0",15517510,2022,43.42306,-75.23027,NA,0,NA,"9/15/2022",NA,NA,NA,NA,NA,NA,NA,NA,108,754.229896,"2018","2022","08-ALDR-2.0_15517510_2022_2018"
"21","08-BENE-0.6",15510630,2022,43.681935,-74.703491,NA,0,NA,"9/14/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,104,227.264112,"2018","2022","08-BENE-0.6_15510630_2022_2018"
"22","08-BLAC-2.5",15512774,2022,43.87534,-75.37319,NA,0,NA,"9/13/2022",NA,NA,NA,NA,NA,NA,NA,NA,118,227.264112,"2018","2022","08-BLAC-2.5_15512774_2022_2018"
"23","08-BLCK_T58-2.0",15513750,2022,43.615545,-75.387488,NA,0,NA,"9/13/2022",NA,NA,NA,NA,NA,NA,NA,NA,116,754.229896,"2018","2022","08-BLCK_T58-2.0_15513750_2022_2018"
"24","08-BLCK_T8-9.0",15512448,2022,43.982339,-75.802215,NA,0,NA,"9/13/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,99,754.229896,"2018","2022","08-BLCK_T8-9.0_15512448_2022_2018"
"25","08-COBB-2.2",15512912,2022,43.82389,-75.65334,NA,0,NA,"9/13/2022","8/1/2004","8/27/2002",NA,NA,NA,NA,NA,NA,92,227.264112,"2018","2022","08-COBB-2.2_15512912_2022_2018"
"26","08-CUMM-0.1",15514114,2022,43.506198,-75.221461,NA,0,NA,"9/15/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,97,227.264112,"2018","2022","08-CUMM-0.1_15514114_2022_2018"
"27","08-DEER-2.0",15512584,2022,43.93028,-75.59111,NA,0,NA,"9/13/2022","8/1/2004","9/26/2007",NA,NA,NA,NA,NA,NA,91,211.72562,"2018","2022","08-DEER-2.0_15512584_2022_2018"
"28","08-DEER-27.6",15513460,2022,43.723389,-75.70138,NA,0,NA,"9/13/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,105,227.264112,"2018","2022","08-DEER-27.6_15513460_2022_2018"
"29","08-LIME-6.3",15510564,2022,43.708504,-74.818199,NA,0,NA,"9/14/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,100,227.264112,"2018","2022","08-LIME-6.3_15510564_2022_2018"
"30","08-LWDH-2.7",15517520,2022,43.45528,-75.15278,NA,0,NA,"9/15/2022","8/1/2004","8/28/2002",NA,NA,NA,NA,NA,NA,94,180.585824,"2018","2022","08-LWDH-2.7_15517520_2022_2018"
"31","08-MBLC-0.1",15510892,2022,43.553273,-74.907832,NA,0,NA,"9/15/2022",NA,NA,NA,NA,NA,NA,NA,NA,109,227.264112,"2018","2022","08-MBLC-0.1_15510892_2022_2018"
"32","08-MLLL_T7-0.8",15513088,2022,43.7903,-75.546073,NA,0,NA,"9/14/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,103,227.264112,"2018","2022","08-MLLL_T7-0.8_15513088_2022_2018"
"33","08-MURM_T2-0.1",15512608,2022,43.910741,-75.366559,NA,0,NA,"9/13/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,106,754.229896,"2018","2022","08-MURM_T2-0.1_15512608_2022_2018"
"34","08-NMOO-0.7",15510434,2022,43.80832,-74.851371,NA,0,NA,"9/14/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,102,180.585824,"2018","2022","08-NMOO-0.7_15510434_2022_2018"
"35","08-NSUG_T8-0.1",15513716,2022,43.609708,-75.481573,NA,0,NA,"9/15/2022",NA,NA,NA,NA,NA,NA,NA,NA,111,754.229896,"2018","2022","08-NSUG_T8-0.1_15513716_2022_2018"
"36","08-ROAR-2.2",15513298,2022,43.74124,-75.42461,"Also picked for probabilistic",0,NA,"9/14/2022",NA,NA,NA,NA,NA,NA,NA,NA,113,180.585824,"2018","2022","08-ROAR-2.2_15513298_2022_2018"
"37","08-SUGR-3.3",15513984,2022,43.53194,-75.35056,NA,0,NA,NA,"8/1/2004","8/28/2002",NA,NA,NA,NA,NA,NA,93,180.585824,"2018","2022","08-SUGR-3.3_15513984_2022_2018"
"38","08-SUMN_T1-0.1",15510606,2022,43.682873,-74.665813,NA,0,NA,"9/14/2022",NA,NA,NA,NA,NA,NA,NA,NA,110,754.229896,"2018","2022","08-SUMN_T1-0.1_15510606_2022_2018"
"39","08-SWIS-2.6",15514254,2022,43.937194,-75.50738,NA,0,NA,"9/13/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,95,180.585824,"2018","2022","08-SWIS-2.6_15514254_2022_2018"
"40","08-TANE-0.7",15513494,2022,43.67705,-75.34291,NA,0,NA,"9/14/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,101,754.229896,"2018","2022","08-TANE-0.7_15513494_2022_2018"
"41","08-TWIN-1.0",15516808,2022,43.4507,-75.014745,NA,0,NA,"9/15/2022","8/1/2004",NA,NA,NA,NA,NA,NA,NA,96,227.264112,"2018","2022","08-TWIN-1.0_15516808_2022_2018"
"42","13-BASC-4.7",6189556,2022,42.412612,-74.035523,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,443,410.589647,"2018","2022","13-BASC-4.7_6189556_2022_2018"
"43","13-CLDS-4.3",6211544,2022,41.931313,-73.725833,NA,0,NA,"7/19/2022",NA,NA,NA,NA,NA,NA,NA,NA,434,502.509608,"2018","2022","13-CLDS-4.3_6211544_2022_2018"
"44","13-CLOV_T2-0.2",6215708,2022,41.493534,-73.912504,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,436,410.589647,"2018","2022","13-CLOV_T2-0.2_6215708_2022_2018"
"45","13-COXS-0.5",6193926,2022,42.3905,-73.80139,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,442,410.589647,"2018","2022","13-COXS-0.5_6193926_2022_2018"
"46","13-JACK-5.8",6211982,2022,41.662908,-73.736386,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,444,502.509608,"2018","2022","13-JACK-5.8_6211982_2022_2018"
"47","13-JDBA-3.5",6188374,2022,42.366627,-73.990344,NA,0,NA,"7/21/2022",NA,NA,NA,NA,NA,NA,NA,NA,431,502.509608,"2018","2022","13-JDBA-3.5_6188374_2022_2018"
"48","13-KAAT-8.4",6188680,2022,42.180528,-73.940247,NA,0,NA,"7/21/2022",NA,NA,NA,NA,NA,NA,NA,NA,427,410.589647,"2018","2022","13-KAAT-8.4_6188680_2022_2018"
"49","13-MONH-4.9",6201874,2022,41.438813,-74.418355,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,437,410.589647,"2018","2022","13-MONH-4.9_6201874_2022_2018"
"50","13-MUSC-8.4",6227362,2022,41.33306,-73.76472,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,447,410.589647,"2018","2022","13-MUSC-8.4_6227362_2022_2018"
"51","13-ROND_T18-0.2",6199854,2022,41.797055,-74.211691,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,433,1400.852961,"2018","2022","13-ROND_T18-0.2_6199854_2022_2018"
"52","13-TIOR-0.2",6230332,2022,41.24349,-74.02654,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,430,410.589647,"2018","2022","13-TIOR-0.2_6230332_2022_2018"
"53","13-VERK-2.9",6200034,2022,41.647772,-74.323771,NA,0,NA,"7/21/2022",NA,NA,NA,NA,NA,NA,NA,NA,445,502.509608,"2018","2022","13-VERK-2.9_6200034_2022_2018"
"54","13-WAPP_E-3.2",6211790,2022,41.783307,-73.743288,NA,0,NA,"7/21/2022",NA,NA,NA,NA,NA,NA,NA,NA,435,410.589647,"2018","2022","13-WAPP_E-3.2_6211790_2022_2018"
"55","13-WOOD_T6B-0.8",6217514,2022,41.368652,-74.122159,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,432,1400.852961,"2018","2022","13-WOOD_T6B-0.8_6217514_2022_2018"
"56","13-WYNT-12.0",6185884,2022,42.623612,-73.571242,NA,0,NA,"7/20/2022",NA,NA,NA,NA,NA,NA,NA,NA,429,502.509608,"2018","2022","13-WYNT-12.0_6185884_2022_2018"
"57","02-ALGY-28.6",8969978,2021,42.085537,-78.639667,NA,0,NA,"9/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,16,121.697539,"2018","2022","02-ALGY-28.6_8969978_2021_2018"
"58","02-CASS-2.3",15444961,2021,42.090423,-79.145993,NA,0,NA,"9/16/2021",NA,NA,NA,NA,NA,NA,NA,NA,17,121.697539,"2018","2022","02-CASS-2.3_15444961_2021_2018"
"59","02-CSPG-4.3",8969146,2021,42.141322,-78.899965,NA,0,NA,"9/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,3,131.644461,"2018","2022","02-CSPG-4.3_8969146_2021_2018"
"60","02-FREN-8.9",9049187,2021,42.069869,-79.705022,NA,0,NA,"9/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,1,131.644461,"2018","2022","02-FREN-8.9_9049187_2021_2018"
"61","02-GRIF-1.4",8968896,2021,42.20654,-78.277248,NA,0,NA,"9/14/2021",NA,NA,NA,NA,NA,NA,NA,NA,4,131.644461,"2018","2022","02-GRIF-1.4_8968896_2021_2018"
"62","02-GVAL-7.3",8968962,2021,42.200219,-78.655695,NA,0,NA,"9/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,10,121.697539,"2018","2022","02-GVAL-7.3_8968962_2021_2018"
"63","02-JHNS-1.0",8968570,2021,42.376836,-78.447366,NA,0,NA,"9/14/2021",NA,NA,NA,NA,NA,NA,NA,NA,15,139.42735,"2018","2022","02-JHNS-1.0_8968570_2021_2018"
"64","02-QRUN-0.3",8969544,2021,42.019177,-78.84248,NA,0,NA,"9/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,14,131.644461,"2018","2022","02-QRUN-0.3_8969544_2021_2018"
"65","02-SLAB_Ta-2.1",15444707,2021,42.418377,-79.028508,NA,0,NA,"9/16/2021",NA,NA,NA,NA,NA,NA,NA,NA,7,511.964212,"2018","2022","02-SLAB_Ta-2.1_15444707_2021_2018"
"66","02-STRW-5.0",8970380,2021,42.003423,-79.570392,NA,0,NA,"9/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,11,139.42735,"2018","2022","02-STRW-5.0_8970380_2021_2018"
"67","02-TWTY-4.0",15444849,2021,42.233662,-79.180653,NA,0,NA,"9/16/2021",NA,NA,NA,NA,NA,NA,NA,NA,13,511.964212,"2018","2022","02-TWTY-4.0_15444849_2021_2018"
"68","02-WANG_W-8.4",15444705,2021,42.426207,-79.169149,NA,0,NA,"9/16/2021",NA,NA,NA,NA,NA,NA,NA,NA,2,511.964212,"2018","2022","02-WANG_W-8.4_15444705_2021_2018"
"69","02-WANG-3.1",15445033,2021,42.014242,-79.151291,NA,0,NA,"9/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,6,121.697539,"2018","2022","02-WANG-3.1_15445033_2021_2018"
"70","07-BUTW-1.3",21983105,2021,42.447166,-76.923261,NA,0,NA,"7/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,577,603.405917,"2018","2022","07-BUTW-1.3_21983105_2021_2018"
"71","07-BVRK-5.8",21982173,2021,42.922841,-77.339701,NA,0,NA,"9/8/2021",NA,NA,NA,NA,NA,NA,NA,NA,582,603.405917,"2018","2022","07-BVRK-5.8_21982173_2021_2018"
"72","07-CRAN-6.4",21977071,2021,42.975315,-76.650968,NA,0,NA,"7/28/2021",NA,NA,NA,NA,NA,NA,NA,NA,584,471.747729,"2018","2022","07-CRAN-6.4_21977071_2021_2018"
"73","07-DUBL-3.3",21977059,2021,42.961095,-76.911714,NA,0,NA,"7/28/2021",NA,NA,NA,NA,NA,NA,NA,NA,589,603.405917,"2018","2022","07-DUBL-3.3_21977059_2021_2018"
"74","07-ENFD-3.5",21983355,2021,42.408856,-76.604618,NA,0,NA,"9/9/2021",NA,NA,NA,NA,NA,NA,NA,NA,581,471.747729,"2018","2022","07-ENFD-3.5_21983355_2021_2018"
"75","07-FALL_T9-0.2",21983085,2021,42.473181,-76.404382,NA,0,NA,"7/15/2021",NA,NA,NA,NA,NA,NA,NA,NA,585,2105.026505,"2018","2022","07-FALL_T9-0.2_21983085_2021_2018"
"76","07-FIEL-1.8",21976155,2021,43.014515,-77.140109,NA,0,NA,"7/28/2021",NA,NA,NA,NA,NA,NA,NA,NA,578,2105.026505,"2018","2022","07-FIEL-1.8_21976155_2021_2018"
"77","07-FURC_Tc-0.5",22023176,2021,43.350229,-75.659479,NA,0,NA,"7/27/2021",NA,NA,NA,NA,NA,NA,NA,NA,583,2105.026505,"2018","2022","07-FURC_Tc-0.5_22023176_2021_2018"
"78","07-KDIG_Tb-0.7",21977699,2021,42.822612,-76.90064,NA,0,NA,"7/14/2021",NA,NA,NA,NA,NA,NA,NA,NA,580,603.405917,"2018","2022","07-KDIG_Tb-0.7_21977699_2021_2018"
"79","07-LIME-13",22026522,2021,42.922085,-75.907909,NA,0,NA,"9/1/2021",NA,NA,NA,NA,NA,NA,NA,NA,586,471.747729,"2018","2022","07-LIME-13_22026522_2021_2018"
"80","07-SCON-6.3",22024116,2021,43.083089,-75.543934,NA,0,NA,"7/20/2021",NA,NA,NA,NA,NA,NA,NA,NA,575,471.747729,"2018","2022","07-SCON-6.3_22024116_2021_2018"
"81","11-BATT-18.0",22288297,2021,43.133683,-73.353832,NA,0,NA,"8/5/2021",NA,NA,NA,NA,NA,NA,NA,NA,777,306.635056,"2018","2022","11-BATT-18.0_22288297_2021_2018"
"82","11-DOIG-4.5",22296000,2021,43.355561,-74.23794,NA,0,NA,"7/29/2021",NA,NA,NA,NA,NA,NA,NA,NA,771,316.261658,"2018","2022","11-DOIG-4.5_22296000_2021_2018"
"83","11-HOOS-22.7",22290307,2021,42.932936,-73.370978,NA,0,NA,"8/4/2021",NA,NA,NA,NA,NA,NA,NA,NA,785,306.635056,"2018","2022","11-HOOS-22.7_22290307_2021_2018"
"84","11-HOOS-3.1",22290491,2021,42.904942,-73.641283,NA,0,NA,"8/3/2021",NA,NA,NA,NA,NA,NA,NA,NA,781,306.635056,"2018","2022","11-HOOS-3.1_22290491_2021_2018"
"85","11-JESS-2.0",22306039,2021,43.588208,-74.395554,NA,0,NA,"8/3/2021",NA,NA,NA,NA,NA,NA,NA,NA,782,206.996183,"2018","2022","11-JESS-2.0_22306039_2021_2018"
"86","11-SNOK-11.5",22287983,2021,43.182937,-73.721986,NA,0,NA,"8/4/2021",NA,NA,NA,NA,NA,NA,NA,NA,784,316.261658,"2018","2022","11-SNOK-11.5_22287983_2021_2018"
"87","11-SQWA-0.1",22305907,2021,43.742414,-74.341618,NA,0,NA,"8/3/2021",NA,NA,NA,NA,NA,NA,NA,NA,774,1021.892696,"2018","2022","11-SQWA-0.1_22305907_2021_2018"
"88","11-TOWR-0.4",22295702,2021,43.48016,-74.232923,NA,0,NA,"8/5/2021",NA,NA,NA,NA,NA,NA,NA,NA,775,1021.892696,"2018","2022","11-TOWR-0.4_22295702_2021_2018"
"89","11-UHUD-267.8",22304859,2021,43.702565,-73.957596,NA,0,NA,"8/3/2021",NA,NA,NA,NA,NA,NA,NA,NA,776,306.635056,"2018","2022","11-UHUD-267.8_22304859_2021_2018"
"90","01-CAZE_E_T9-1.5",15575299,2020,42.73498573,-78.57163373,NA,0,NA,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,540,385.747737,"2018","2022","01-CAZE_E_T9-1.5_15575299_2020_2018"
"91","01-CLAR-18.5",15582177,2020,42.49466373,-78.82008473,NA,0,NA,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,528,385.747737,"2018","2022","01-CLAR-18.5_15582177_2020_2018"
"92","01-CONN-2.5",15582313,2020,42.45,-78.73,NA,0,NA,"9/16/2020","8/25/2010",NA,NA,NA,NA,NA,NA,NA,537,247.032005,"2018","2022","01-CONN-2.5_15582313_2020_2018"
"93","01-HAMP-3.6",15575641,2020,42.67,-78.82,NA,0,NA,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,531,238.708187,"2018","2022","01-HAMP-3.6_15575641_2020_2018"
"94","01-SILV_T8_1_1-1.0",9840076,2020,42.44930573,-79.04752373,NA,0,NA,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,539,385.747737,"2018","2022","01-SILV_T8_1_1-1.0_9840076_2020_2018"
"95","01-SMOK-2.9",15575189,2020,42.77919273,-78.71674573,NA,0,NA,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,527,238.708187,"2018","2022","01-SMOK-2.9_15575189_2020_2018"
"96","01-SWYR-2.1",15567453,2020,43.07216573,-78.85530373,NA,0,NA,"9/17/2020",NA,NA,NA,NA,NA,NA,NA,NA,536,385.747737,"2018","2022","01-SWYR-2.1_15567453_2020_2018"
"97","01-TEEN-24.2",15576103,2020,42.6,-78.72,NA,0,NA,"9/16/2020",NA,NA,NA,NA,NA,NA,NA,NA,533,247.032005,"2018","2022","01-TEEN-24.2_15576103_2020_2018"
"98","01-TONA_T35_1-2.0",15569255,2020,42.88733573,-78.21768073,NA,0,NA,"9/17/2020",NA,NA,NA,NA,NA,NA,NA,NA,538,238.708187,"2018","2022","01-TONA_T35_1-2.0_15569255_2020_2018"
"99","01-TONA-19.4",15567933,2020,43.1,-78.64,"Probabalistic/Long Term Trend",0,NA,"9/16/2015","8/22/2006","9/12/2005","7/3/2001",NA,NA,NA,NA,NA,532,268.270096,"2018","2022","01-TONA-19.4_15567933_2020_2018"
"100","01-TONA-27.6",15567387,2020,43.08064173,-78.57346273,NA,0,NA,"9/17/2020",NA,NA,NA,NA,NA,NA,NA,NA,526,268.270096,"2018","2022","01-TONA-27.6_15567387_2020_2018"
"101","01-TONA-62.7",15567959,2020,43.002696,-78.251967,NA,0,NA,"9/17/2020",NA,NA,NA,NA,NA,NA,NA,NA,530,268.270096,"2018","2022","01-TONA-62.7_15567959_2020_2018"
"102","01-TONA-83.3",15569747,2020,42.88,-78.26,NA,0,NA,"9/17/2020",NA,NA,NA,NA,NA,NA,NA,NA,534,268.270096,"2018","2022","01-TONA-83.3_15569747_2020_2018"
"103","01-YUGA-26.0",15574997,2020,42.82723773,-78.45003373,NA,0,NA,"9/15/2020",NA,NA,NA,NA,NA,NA,NA,NA,529,247.032005,"2018","2022","01-YUGA-26.0_15574997_2020_2018"
"104","03-BROK-4.7",15558265,2020,43.2610855,-77.8959198,NA,0,NA,"8/20/2020",NA,NA,NA,NA,NA,NA,NA,NA,384,444.979709,"2018","2022","03-BROK-4.7_15558265_2020_2018"
"105","03-FICR-5.3",15560239,2020,43.2246208,-78.3236465,NA,0,NA,"8/19/2020",NA,NA,NA,NA,NA,NA,NA,NA,382,356.266112,"2018","2022","03-FICR-5.3_15560239_2020_2018"
"106","03-GULS-10.4",21621759,2020,43.8202782,-75.80896,NA,0,NA,"8/19/2020",NA,NA,NA,NA,NA,NA,NA,NA,391,444.979709,"2018","2022","03-GULS-10.4_21621759_2020_2018"
"107","03-JOHN-9.1",15559477,2020,43.3352814,-78.3590698,NA,0,NA,"8/19/2020",NA,NA,NA,NA,NA,NA,NA,NA,386,248.102172,"2018","2022","03-JOHN-9.1_15559477_2020_2018"
"108","03-LIND-6.8",21623435,2020,43.6811676,-76.0763779,NA,0,NA,"8/18/2020",NA,NA,NA,NA,NA,NA,NA,NA,379,356.266112,"2018","2022","03-LIND-6.8_21623435_2020_2018"
"109","03-LSAM-11.2",21625643,2020,43.4273491,-76.1872177,NA,0,NA,"8/18/2020",NA,NA,NA,NA,NA,NA,NA,NA,397,248.102172,"2018","2022","03-LSAM-11.2_21625643_2020_2018"
"110","03-MUDC-0.6",21623465,2020,43.6680717,-76.1557693,NA,0,NA,"8/18/2020",NA,NA,NA,NA,NA,NA,NA,NA,390,444.979709,"2018","2022","03-MUDC-0.6_21623465_2020_2018"
"111","03-NRUP-13.0",15558669,2020,43.1687622,-77.8050308,NA,0,NA,"8/20/2020",NA,NA,NA,NA,NA,NA,NA,NA,380,910.363377,"2018","2022","03-NRUP-13.0_15558669_2020_2018"
"112","03-ORCH_T28-2.1",15561157,2020,43.0980721,-78.2499924,NA,0,NA,"8/19/2020",NA,NA,NA,NA,NA,NA,NA,NA,376,356.266112,"2018","2022","03-ORCH_T28-2.1_15561157_2020_2018"
"113","03-RAYS-5.0",21622603,2020,43.7490692,-75.9646988,NA,0,NA,"8/18/2020",NA,NA,NA,NA,NA,NA,NA,NA,383,444.979709,"2018","2022","03-RAYS-5.0_21622603_2020_2018"
"114","03-REDR-15.1",21631963,2020,43.1843834,-76.7082672,NA,0,NA,"8/17/2020",NA,NA,NA,NA,NA,NA,NA,NA,381,910.363377,"2018","2022","03-REDR-15.1_21631963_2020_2018"
"115","03-SAGE-4.2",21625527,2020,43.48312,-76.2247314,NA,0,NA,"8/18/2020",NA,NA,NA,NA,NA,NA,NA,NA,389,444.979709,"2018","2022","03-SAGE-4.2_21625527_2020_2018"
"116","03-SSAN-14.1",21623213,2020,43.7763901,-76.0180588,NA,0,NA,"8/19/2020",NA,NA,NA,NA,NA,NA,NA,NA,393,356.266112,"2018","2022","03-SSAN-14.1_21623213_2020_2018"
"117","03-STRL-12.5",21631787,2020,43.2585907,-76.6313934,NA,0,NA,"8/17/2020",NA,NA,NA,NA,NA,NA,NA,NA,394,444.979709,"2018","2022","03-STRL-12.5_21631787_2020_2018"
"118","03-WWHIO-1.5",21633543,2020,43.0599403,-77.3858719,NA,0,NA,"8/18/2020",NA,NA,NA,NA,NA,NA,NA,NA,385,444.979709,"2018","2022","03-WWHIO-1.5_21633543_2020_2018"
"119","04-BIDW_T4-0.6",15539363,2019,42.858199,-77.92604,NA,0,NA,"7/24/2019",NA,NA,NA,NA,NA,NA,NA,NA,254,278.770526,"2018","2022","04-BIDW_T4-0.6_15539363_2019_2018"
"120","04-BLAK_N_T1-1.1",15537211,2019,43.149342,-77.981212,NA,0,NA,"7/23/2019",NA,NA,NA,NA,NA,NA,NA,NA,240,707.634706,"2018","2022","04-BLAK_N_T1-1.1_15537211_2019_2018"
"121","04-BLAK_T6-0.9",15537809,2019,43.085291,-77.799411,NA,0,NA,"7/23/2019",NA,NA,NA,NA,NA,NA,NA,NA,259,278.770526,"2018","2022","04-BLAK_T6-0.9_15537809_2019_2018"
"122","04-BLAK-34.9",15538551,2019,43.0341,-78.0754,NA,0,NA,"7/23/2019",NA,NA,NA,NA,NA,NA,NA,NA,257,278.770526,"2018","2022","04-BLAK-34.9_15538551_2019_2018"
