FID,Shape,siteID,xcoord,ycoord,mdcaty,wgt,stratum,panel,EvalStatus,EvalReason,status,COMID,LongitudeDD,LatitudeDD,GNIS_NAME,FDATE,RESOLUTION,GNIS_ID,LENGTHKM,REACHCODE,FLOWDIR,FCODE,FTYPE,DES_FTYPE,STATE,MAJ_RIVER,MAJ_RIV_NM,NRSA_NAME,HUC8,SO,US_L4CODE,US_L4NAME,US_L3CODE,US_L3NAME,NA_L3CODE,NA_L3NAME,NA_L2CODE,NA_L2NAME,NA_L1CODE,NA_L1NAME,STATE_NAME,WSA_9,WSA_9_NM,WSA_3,FEAT_NAME,OWNER,OWNER_CAT,OWNER_ADM,OWNER_CAT2,URBAN,FRAME14,sort_id,PSTL_CODE,STRAH_CAT,DES_CAT,DES_NRSA14,Basin
212,Point,NY18-1213,1759368.263,652942.6233,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,TS,TS,4147796,-74.569549,41.549547,Pine Kill,8/1/2004,Medium,960492,4.447505,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Pine Kill,2040104,1,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3369,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
213,Point,NY18-1214,1703378.788,676047.6475,4th+,165.37573,Delaware_River_NRSA14_ST,OverSamp,NotEval,TS,TS,2617358,-75.168921,41.861286,Delaware River,8/1/2004,Medium,217887,1.897229,2.0401E+12,With Digitized,55800,ArtificialPath,ArtificialPathStreamPer,NY:PA,MajorRiver,Delaware River,Delaware River,2040101,5,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,Pennsylvania,NAP,Northern Appalachians,EHIGH,Upper Delaware,US NPS,Scenic and Recreational River,NE, ,NonUrban,NRSA14_ST,50373,NY,Rivers,BorderInOtherState,ExcludeOtherState,Delaware_River
214,Point,NY18-1215,1709144.251,679618.032,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,TS,TS,2616720,-75.09121,41.881206,North Branch Basket Creek,8/1/2004,Medium,958695,3.851193,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,North Branch Basket Creek,2040101,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,2166,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
215,Point,NY18-1216,1740309.438,724251.0391,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,TS - EDEL-59.1,PB,1748541,-74.601636,42.208877,East Branch Delaware River,8/1/2004,Medium,949000,7.893475,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY,MajorRiver,Delaware River,East Branch Delaware River,2040102,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,982,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
216,Point,NY18-1217,1674858.884,703511.8404,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NT - Dry reach,NT,2613574,-75.435305,42.156098, ,8/1/2004,Medium, ,2.302685,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,2040101,1,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1663,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
217,Point,NY18-1218,1753815.896,660681.8916,4th+,165.37573,Delaware_River_NRSA14_ST,OverSamp,NotEval,TS - NEVR-26.2,TS,4147634,-74.61406,41.628036,Neversink River,8/1/2004,Medium,970402,4.130525,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Neversink River,2040104,4,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3288,NY,LargeStreams,StreamsLarge,LargeStreams,Delaware_River
218,Point,NY18-1219,1701909.406,705332.0428,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,TS,2613734,-75.108847,42.119651,Beers Brook,8/1/2004,Medium,943560,1.643196,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Beers Brook,2040101,1,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1753,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
219,Point,NY18-1220,1736125.986,692361.3366,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1750595,-74.737635,41.939248,Frog Hollow,8/1/2004,Medium,950749,4.655455,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Frog Hollow,2040102,1,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1314,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
220,Point,NY18-1221,1750158.542,650014.096,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4147812,-74.685862,41.54239,Bush Kill,8/1/2004,Medium,945310,0.379664,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Bush Kill,2040104,2,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3378,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
221,Point,NY18-1222,1702531.847,693591.2755,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1749387,-75.13259,42.015996,Morrison Brook,8/1/2004,Medium,957702,4.382172,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Morrison Brook,2040102,1,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1186,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
222,Point,NY18-1223,1721676.104,682971.4529,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2615066,-74.933909,41.885915,"Gulf, The",8/1/2004,Medium,967252,5.382793,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,"Gulf, The",2040101,1,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,2001,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
223,Point,NY18-1224,1721511.69,689686.7502,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1750423,-74.917925,41.944795,Beaver Kill,8/1/2004,Medium,969859,2.734019,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Beaver Kill,2040102,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1247,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
224,Point,NY18-1225,1669171.927,701402.7948,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2613650,-75.508482,42.148577, ,8/1/2004,Medium, ,1.610872,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,2040101,1,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1705,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
225,Point,NY18-1226,1697051.603,687263.1736,4th+,165.37573,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1752145,-75.214328,41.971429,East Branch Delaware River,8/1/2004,Medium,949000,0.733962,2.0401E+12,With Digitized,55800,ArtificialPath,ArtificialPathStreamPer,NY,MajorRiver,Delaware River,East Branch Delaware River,2040102,5,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1439,NY,Rivers,RiversMajor,RiversMajor,Delaware_River
226,Point,NY18-1227,1741312.884,671669.5368,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4147966,-74.731983,41.748629,Spring Brook,8/1/2004,Medium,966056,2.068767,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Spring Brook,2040104,1,60b,Delaware-Neversink Highlands,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3444,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
227,Point,NY18-1228,1722649.213,724681.9736,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2612934,-74.810459,42.247723,Little Delaware River,8/1/2004,Medium,955512,4.557484,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Little Delaware River,2040101,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1514,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
228,Point,NY18-1229,1730186.077,650004.678,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4147724,-74.921177,41.581783,Cow Swale Brook,8/1/2004,Medium,947593,2.214315,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Cow Swale Brook,2040104,1,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3334,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
229,Point,NY18-1230,1688885.61,689549.7655,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2613926,-75.305205,42.007191,Sands Creek,8/1/2004,Medium,964413,1.33431,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Sands Creek,2040101,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1852,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
230,Point,NY18-1231,1739265.231,663981.0318,3rd,139.402544,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4147552,-74.776793,41.685686,West Branch Mongaup River,8/1/2004,Medium,969128,1.938085,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,West Branch Mongaup River,2040104,3,60b,Delaware-Neversink Highlands,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3238,NY,LargeStreams,StreamsLarge,LargeStreams,Delaware_River
231,Point,NY18-1232,1717997.411,710628.3156,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1748725,-74.90356,42.134336,Coles Clove,8/1/2004,Medium,947120,2.48746,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Coles Clove,2040102,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1062,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
232,Point,NY18-1233,1754005.072,632623.2352,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4150574,-74.68728,41.383261, ,8/1/2004,Medium, ,1.135877,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,2040104,1,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,Urban,NRSA14_ST,52081,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
233,Point,NY18-1234,1703570.071,716093.758,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2613372,-75.060475,42.210312,Macgibbon Hollow,8/1/2004,Medium,956216,3.729301,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Macgibbon Hollow,2040101,1,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1556,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
234,Point,NY18-1235,1731887.878,684560.7031,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1750505,-74.808784,41.879644, ,8/1/2004,Medium, ,2.520483,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,2040102,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1287,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
235,Point,NY18-1236,1734729.624,717947.2451,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1748543,-74.685056,42.165046,Platte Kill,8/1/2004,Medium,960689,5.752961,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Platte Kill,2040102,2,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,983,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
236,Point,NY18-1237,1702099.831,697544.702,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1749235,-75.127244,42.051332,Gee Brook,8/1/2004,Medium,950972,2.410245,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Gee Brook,2040102,1,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1135,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
237,Point,NY18-1238,1708617.841,696479.4289,4th+,165.37573,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1749261,-75.052706,42.02932,East Branch Delaware River,8/1/2004,Medium,949000,1.058042,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY,MajorRiver,Delaware River,East Branch Delaware River,2040102,4,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1148,NY,LargeStreams,StreamsLarge,LargeStreams,Delaware_River
238,Point,NY18-1239,1744292.273,702343.485,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1748635,-74.613903,42.010001,Beaver Kill,8/1/2004,Medium,969859,6.682614,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Beaver Kill,2040102,2,58y,Catskill High Peaks,58,Northeastern Highlands,5.3.1,Northern Appalachian and Atlantic Maritime Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1039,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
239,Point,NY18-1240,1712916.299,730180.7072,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2612812,-74.911515,42.314886,Falls Creek,8/1/2004,Medium,949892,7.610928,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Falls Creek,2040101,1,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1471,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
240,Point,NY18-1241,1734359.559,644278.3277,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4147860,-74.887233,41.523662,Halfway Brook,8/1/2004,Medium,952033,1.220353,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Halfway Brook,2040104,2,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3402,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
241,Point,NY18-1242,1726091.693,657492.2633,3rd,139.402544,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2615160,-74.949565,41.655097,Tenmile River,8/1/2004,Medium,967160,2.898291,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Tenmile River,2040101,3,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,2055,NY,LargeStreams,StreamsLarge,LargeStreams,Delaware_River
242,Point,NY18-1243,1743188.359,641047.2354,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4150050,-74.791917,41.478086, ,8/1/2004,Medium, ,2.546353,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,2040104,1,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3787,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
243,Point,NY18-1244,1727795.563,684167.2079,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,1750485,-74.858273,41.884294,Shandelee Brook,8/1/2004,Medium,964930,2.920492,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Shandelee Brook,2040102,1,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1278,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
244,Point,NY18-1245,1761621.247,646139.9437,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4149976,-74.561405,41.485803, ,8/1/2004,Medium, ,0.735993,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,2040104,1,67m,Northern Glaciated Ridges,67,Ridge and Valley,8.4.1,Ridge and Valley,8.4,OZARK/OUACHITA-APPALACHIAN FORESTS,8,EASTERN TEMPERATE FORESTS,New York,SAP,Southern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3747,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
245,Point,NY18-1246,1708490.915,673415.2542,4th+,165.37573,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2617384,-75.115356,41.828374,Delaware River,8/1/2004,Medium,217887,0.66473,2.0401E+12,With Digitized,55800,ArtificialPath,ArtificialPathStreamPer,NY:PA,MajorRiver,Delaware River,Delaware River,2040101,5,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,Pennsylvania,NAP,Northern Appalachians,EHIGH,Upper Delaware,US NPS,Scenic and Recreational River,NE, ,NonUrban,NRSA14_ST,50416,NY,Rivers,BorderInOtherState,ExcludeOtherState,Delaware_River
246,Point,NY18-1247,1686269.733,709785.3974,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2613416,-75.283049,42.188888,Carroll Hollow,8/1/2004,Medium,945911,2.566612,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Carroll Hollow,2040101,1,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1578,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
247,Point,NY18-1248,1753912.711,701894.7537,2nd,196.218209,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4147366,-74.501147,41.98685,Biscuit Brook,8/1/2004,Medium,944038,0.796179,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Biscuit Brook,2040104,2,58y,Catskill High Peaks,58,Northeastern Highlands,5.3.1,Northern Appalachian and Atlantic Maritime Highlands,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3149,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
248,Point,NY18-1249,1756324.275,662640.9562,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,4147616,-74.579204,41.640094, ,8/1/2004,Medium, ,0.734313,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,2040104,1,62b,Low Poconos,62,North Central Appalachians,5.3.3,North Central Appalachians,5.3,ATLANTIC HIGHLANDS,5,NORTHERN FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,3279,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
249,Point,NY18-1250,1732781.261,734060.5441,1st,600.086504,Delaware_River_NRSA14_ST,OverSamp,NotEval,NN,NN,2612926,-74.664491,42.309398,Rose Brook,8/1/2004,Medium,962899,8.094796,2.0401E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,Rose Brook,2040101,1,60c,Catskills Transition,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,1510,NY,SmallStreams,StreamsSmall,SmallStreams,Delaware_River
250,Point,NY18-1251,1449259.18,770403.9732,1st,707.634706,Genesee_River_NRSA14_ST,Base,NotEval,TS ,TS,15537211,-77.981212,43.149342,North Branch Black Creek,8/1/2004,Medium,958696,3.208591,4.13E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,North Branch Black Creek,4130003,1,83c,Ontario Lowlands,83,Eastern Great Lakes Lowlands,8.1.1,Eastern Great Lakes Lowlands,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,33809,NY,SmallStreams,StreamsSmall,SmallStreams,Genesee_River
251,Point,NY18-1252,1469130.7,719257.2935,1st,707.634706,Genesee_River_NRSA14_ST,Base,NotEval,PB - appears dry,PB,15547417,-77.860011,42.666182, ,8/1/2004,Medium, ,1.801262,4.13E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , , ,4130002,1,60d,Finger Lakes Uplands and Gorges,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,35245,NY,SmallStreams,StreamsSmall,SmallStreams,Genesee_River
252,Point,NY18-1253,1446413.794,711747.2643,3rd,178.773777,Genesee_River_NRSA14_ST,Base,NotEval,TS - EKOY-10.4,TS,15549637,-78.151113,42.638446,East Koy Creek,8/1/2004,Medium,949150,6.669569,4.13E+12,With Digitized,46006,StreamRiver,StreamRiverPer,NY, , ,East Koy Creek,4130002,3,60a,Glaciated Low Allegheny Plateau,60,Northern Allegheny Plateau,8.1.3,Northern Allegheny Plateau,8.1,MIXED WOOD PLAINS,8,EASTERN TEMPERATE FORESTS,New York,NAP,Northern Appalachians,EHIGH, ,NonFederal, , , ,NonUrban,NRSA14_ST,36019,NY,LargeStreams,StreamsLarge,LargeStreams,Genesee_River
